Subject,Topic,Paper Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Reference Book
Forensic Medicine,Postmortem Changes and Timing,1,What is a key characteristic of Postmortem Changes and Timing?,Characteristic A related to Postmortem Changes and Timing,Characteristic B related to Postmortem Changes and Timing,Characteristic C related to Postmortem Changes and Timing,Correct characteristic of Postmortem Changes and Timing,D,This is the correct explanation for the characteristic of Postmortem Changes and Timing.,EASY,Lehninger Principles of Biochemistry
Forensic Medicine,Toxicology and Poisoning,1,What is a key characteristic of Toxicology and Poisoning?,Characteristic A related to Toxicology and Poisoning,Characteristic B related to Toxicology and Poisoning,Characteristic C related to Toxicology and Poisoning,Correct characteristic of Toxicology and Poisoning,D,This is the correct explanation for the characteristic of Toxicology and Poisoning.,EASY,Forensic Medicine: A Guide to Principles
Pathology,Neoplasia and Tumor Markers,2,What is a key characteristic of Neoplasia and Tumor Markers?,Characteristic A related to Neoplasia and Tumor Markers,Characteristic B related to Neoplasia and Tumor Markers,Characteristic C related to Neoplasia and Tumor Markers,Correct characteristic of Neoplasia and Tumor Markers,D,This is the correct explanation for the characteristic of Neoplasia and Tumor Markers.,EASY,Dewhurst's Textbook of Obstetrics & Gynaecology
Community Medicine,Epidemiology and Disease Outbreaks,2,What is a key characteristic of Epidemiology and Disease Outbreaks?,Characteristic A related to Epidemiology and Disease Outbreaks,Characteristic B related to Epidemiology and Disease Outbreaks,Characteristic C related to Epidemiology and Disease Outbreaks,Correct characteristic of Epidemiology and Disease Outbreaks,D,This is the correct explanation for the characteristic of Epidemiology and Disease Outbreaks.,EASY,Schwartz's Principles of Surgery
Biochemistry,Protein Synthesis and Folding,1,What is a key characteristic of Protein Synthesis and Folding?,Characteristic A related to Protein Synthesis and Folding,Characteristic B related to Protein Synthesis and Folding,Characteristic C related to Protein Synthesis and Folding,Correct characteristic of Protein Synthesis and Folding,D,This is the correct explanation for the characteristic of Protein Synthesis and Folding.,EASY,Forensic Medicine: A Guide to Principles
Biochemistry,Enzyme Kinetics and Inhibition,1,What is a key characteristic of Enzyme Kinetics and Inhibition?,Characteristic A related to Enzyme Kinetics and Inhibition,Characteristic B related to Enzyme Kinetics and Inhibition,Characteristic C related to Enzyme Kinetics and Inhibition,Correct characteristic of Enzyme Kinetics and Inhibition,D,This is the correct explanation for the characteristic of Enzyme Kinetics and Inhibition.,EASY,Gray's Anatomy
Physiology,Cardiovascular System Regulation,1,What is a key characteristic of Cardiovascular System Regulation?,Characteristic A related to Cardiovascular System Regulation,Characteristic B related to Cardiovascular System Regulation,Characteristic C related to Cardiovascular System Regulation,Correct characteristic of Cardiovascular System Regulation,D,This is the correct explanation for the characteristic of Cardiovascular System Regulation.,MEDIUM,Gray's Anatomy
Anatomy,Fetal Skull Bones and Sutures,1,What is a key characteristic of Fetal Skull Bones and Sutures?,Characteristic A related to Fetal Skull Bones and Sutures,Characteristic B related to Fetal Skull Bones and Sutures,Characteristic C related to Fetal Skull Bones and Sutures,Correct characteristic of Fetal Skull Bones and Sutures,D,This is the correct explanation for the characteristic of Fetal Skull Bones and Sutures.,MEDIUM,Lehninger Principles of Biochemistry
Obstetrics,Postpartum Hemorrhage Management,1,What is a key characteristic of Postpartum Hemorrhage Management?,Characteristic A related to Postpartum Hemorrhage Management,Characteristic B related to Postpartum Hemorrhage Management,Characteristic C related to Postpartum Hemorrhage Management,Correct characteristic of Postpartum Hemorrhage Management,D,This is the correct explanation for the characteristic of Postpartum Hemorrhage Management.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Biochemistry,Lipid Metabolism and Storage,1,What is a key characteristic of Lipid Metabolism and Storage?,Characteristic A related to Lipid Metabolism and Storage,Characteristic B related to Lipid Metabolism and Storage,Characteristic C related to Lipid Metabolism and Storage,Correct characteristic of Lipid Metabolism and Storage,D,This is the correct explanation for the characteristic of Lipid Metabolism and Storage.,HARD,Gray's Anatomy
Physiology,Nervous System Neurotransmitters,1,What is a key characteristic of Nervous System Neurotransmitters?,Characteristic A related to Nervous System Neurotransmitters,Characteristic B related to Nervous System Neurotransmitters,Characteristic C related to Nervous System Neurotransmitters,Correct characteristic of Nervous System Neurotransmitters,D,This is the correct explanation for the characteristic of Nervous System Neurotransmitters.,EASY,Forensic Medicine: A Guide to Principles
Obstetrics,Pre-eclampsia and Eclampsia,1,What is a key characteristic of Pre-eclampsia and Eclampsia?,Characteristic A related to Pre-eclampsia and Eclampsia,Characteristic B related to Pre-eclampsia and Eclampsia,Characteristic C related to Pre-eclampsia and Eclampsia,Correct characteristic of Pre-eclampsia and Eclampsia,D,This is the correct explanation for the characteristic of Pre-eclampsia and Eclampsia.,HARD,Forensic Medicine: A Guide to Principles
Anatomy,Amniotic Fluid Dynamics,1,What is a key characteristic of Amniotic Fluid Dynamics?,Characteristic A related to Amniotic Fluid Dynamics,Characteristic B related to Amniotic Fluid Dynamics,Characteristic C related to Amniotic Fluid Dynamics,Correct characteristic of Amniotic Fluid Dynamics,D,This is the correct explanation for the characteristic of Amniotic Fluid Dynamics.,EASY,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Surgery,Trauma and Emergency Management,1,What is a key characteristic of Trauma and Emergency Management?,Characteristic A related to Trauma and Emergency Management,Characteristic B related to Trauma and Emergency Management,Characteristic C related to Trauma and Emergency Management,Correct characteristic of Trauma and Emergency Management,D,This is the correct explanation for the characteristic of Trauma and Emergency Management.,HARD,Forensic Medicine: A Guide to Principles
Physiology,Endocrine Hormones and Feedback,1,What is a key characteristic of Endocrine Hormones and Feedback?,Characteristic A related to Endocrine Hormones and Feedback,Characteristic B related to Endocrine Hormones and Feedback,Characteristic C related to Endocrine Hormones and Feedback,Correct characteristic of Endocrine Hormones and Feedback,D,This is the correct explanation for the characteristic of Endocrine Hormones and Feedback.,MEDIUM,Goodman & Gilman's Pharmacological Basis of Therapeutics
Pathology,Genetic Disorders and Mutations,1,What is a key characteristic of Genetic Disorders and Mutations?,Characteristic A related to Genetic Disorders and Mutations,Characteristic B related to Genetic Disorders and Mutations,Characteristic C related to Genetic Disorders and Mutations,Correct characteristic of Genetic Disorders and Mutations,D,This is the correct explanation for the characteristic of Genetic Disorders and Mutations.,EASY,Lehninger Principles of Biochemistry
Pathology,Infectious Disease Pathogenesis,1,What is a key characteristic of Infectious Disease Pathogenesis?,Characteristic A related to Infectious Disease Pathogenesis,Characteristic B related to Infectious Disease Pathogenesis,Characteristic C related to Infectious Disease Pathogenesis,Correct characteristic of Infectious Disease Pathogenesis,D,This is the correct explanation for the characteristic of Infectious Disease Pathogenesis.,HARD,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Microbiology,Bacterial Cell Wall Structure,2,What is a key characteristic of Bacterial Cell Wall Structure?,Characteristic A related to Bacterial Cell Wall Structure,Characteristic B related to Bacterial Cell Wall Structure,Characteristic C related to Bacterial Cell Wall Structure,Correct characteristic of Bacterial Cell Wall Structure,D,This is the correct explanation for the characteristic of Bacterial Cell Wall Structure.,MEDIUM,"Jawetz, Melnick, & Adelberg's Medical Microbiology"
Pharmacology,Mechanism of Action of Antibiotics,1,What is a key characteristic of Mechanism of Action of Antibiotics?,Characteristic A related to Mechanism of Action of Antibiotics,Characteristic B related to Mechanism of Action of Antibiotics,Characteristic C related to Mechanism of Action of Antibiotics,Correct characteristic of Mechanism of Action of Antibiotics,D,This is the correct explanation for the characteristic of Mechanism of Action of Antibiotics.,HARD,Schwartz's Principles of Surgery
Anatomy,Pelvic Diaphragm,1,Which muscle forms the major part of the pelvic diaphragm and is most susceptible to injury during vaginal delivery?,Piriformis,Levator ani,Obturator internus,Coccygeus,B,The Levator ani (specifically the pubococcygeus/puborectalis) forms the floor and supports pelvic viscera.,MEDIUM,Ten Teachers
Physiology,Fetal Circulation,1,"In fetal circulation, the highest oxygen saturation is found in which of the following vessels?",Umbilical artery,Descending aorta,Ductus venosus,Pulmonary artery,C,"Blood from the umbilical vein (80% saturated) enters the ductus venosus directly, bypassing the liver to reach the IVC.",HARD,Ten Teachers
Obstetrics,Pre-eclampsia,2,"According to the latest guidelines, what is the definitive ""cure"" for severe pre-eclampsia?",Magnesium Sulfate,IV Hydralazine,Delivery of the placenta,Bed rest and sedation,C,"While symptoms are managed with drugs, the pathophysiology is placental; thus, delivery of the placenta is the only cure.",EASY,Dewhurst
Gynaecology,Ectopic Pregnancy,2,What is the most common site for an ectopic pregnancy implantation?,Ampulla of the fallopian tube,Isthmus of the fallopian tube,Fimbria,Cervix,A,Approximately 70% of tubal pregnancies occur in the ampullary region.,EASY,Ten Teachers
Pharmacology,Tocolytics,1,Which of the following drugs acts as a calcium channel blocker to inhibit preterm labor contractions?,Nifedipine,Indomethacin,Atosiban,Salbutamol,A,"Nifedipine blocks the influx of calcium ions into uterine smooth muscle, leading to relaxation.",MEDIUM,Dewhurst
